105/06/01,10000,4100,0.41,0.41,0.41,0.41,0.00,1
105/06/02,19000,7030,0.37,0.37,0.37,0.37,-0.04,1
105/06/03,25000,8750,0.35,0.35,0.35,0.35,-0.02,1
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
