105/06/01,55000,9900,0.18,0.18,0.18,0.18,0.00,2
105/06/02,0,0,---,---,---,---,---,0
105/06/03,0,0,---,---,---,---,---,0
105/06/04,100000,14000,0.14,0.14,0.14,0.14,+0.01,1
105/06/06,100000,17000,0.17,0.17,0.17,0.17,+0.03,1
105/06/07,110000,17900,0.17,0.17,0.16,0.17,0.00,3
105/06/08,20000,3200,0.16,0.16,0.16,0.16,-0.01,1
105/06/13,10000,700,0.07,0.07,0.07,0.07,-0.09,1
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,1000,130,0.13,0.13,0.13,0.13,+0.07,1
105/06/22,0,0,---,---,---,---,---,0
105/06/23,140000,19200,0.14,0.14,0.13,0.13,+0.01,2
105/06/24,263000,31280,0.14,0.14,0.10,0.10,-0.03,4
105/06/27,25000,2500,0.10,0.10,0.10,0.10,0.00,2
105/06/28,0,0,---,---,---,---,---,0
105/06/29,10000,900,0.09,0.09,0.09,0.09,-0.01,1
105/06/30,100000,8000,0.08,0.08,0.08,0.08,-0.01,2
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
