105/06/01,40000,61700,1.54,1.55,1.54,1.55,0.09,2
105/06/02,45000,57850,1.34,1.34,1.24,1.24,-0.31,4
105/06/03,50000,53400,1.08,1.08,1.05,1.05,-0.19,4
105/06/04,10000,10700,1.07,1.07,1.07,1.07,0.02,1
105/06/06,337000,449020,1.26,1.47,1.26,1.36,0.29,16
105/06/07,267000,361220,1.39,1.40,1.27,1.27,-0.09,14
105/06/08,0,0,--,--,--,--,,0
105/06/13,130000,140300,1.13,1.13,0.99,1.08,X,8
105/06/14,56000,54020,0.96,0.97,0.96,0.97,-0.11,3
105/06/15,89000,86530,0.95,0.99,0.95,0.99,0.02,8
105/06/16,63000,55330,0.91,0.91,0.87,0.87,-0.12,3
105/06/17,0,0,--,--,--,--,,0
105/06/20,20000,17200,0.86,0.86,0.86,0.86,X,1
105/06/21,10000,8700,0.87,0.87,0.87,0.87,0.01,1
105/06/22,195000,143400,0.76,0.76,0.70,0.72,-0.15,8
105/06/23,435000,269900,0.66,0.66,0.59,0.59,-0.13,18
105/06/24,445000,290450,0.61,0.72,0.59,0.59,,15
105/06/27,171000,95400,0.54,0.60,0.54,0.60,0.01,6
105/06/28,616000,418290,0.60,0.74,0.58,0.74,0.14,15
105/06/29,356000,283300,0.74,0.83,0.74,0.76,0.02,11
105/06/30,271000,218100,0.77,0.90,0.74,0.90,0.14,15
105/07/01,66000,60660,0.92,0.92,0.91,0.91,0.01,3
105/07/04,95000,78350,0.81,0.87,0.81,0.87,-0.04,5
105/07/05,25000,20150,0.80,0.83,0.80,0.83,-0.04,3
105/07/06,105000,71400,0.68,0.68,0.68,0.68,-0.15,2
105/07/07,1000,700,0.70,0.70,0.70,0.70,0.02,1
105/07/11,91000,68950,0.75,0.77,0.75,0.77,0.07,6
105/07/12,486000,429900,0.99,0.99,0.77,0.96,0.19,16
105/07/13,134000,125710,0.94,0.94,0.92,0.94,-0.02,7
105/07/14,37000,35480,0.95,0.96,0.95,0.96,0.02,4
105/07/15,90000,128750,1.43,1.46,1.37,1.46,0.50,8
105/07/18,145000,244230,1.64,1.84,1.64,1.77,0.31,6
105/07/19,150000,274530,1.84,1.84,1.81,1.81,0.04,9
105/07/20,45000,86650,1.91,2.00,1.79,1.79,-0.02,5
105/07/21,120000,209100,1.89,1.89,1.70,1.72,-0.07,4
105/07/22,0,0,--,--,--,--,,0
105/07/25,10000,19500,1.95,1.95,1.95,1.95,X,1
105/07/26,20000,33800,1.69,1.69,1.69,1.69,-0.26,2
105/07/27,35000,61250,1.74,1.77,1.74,1.75,0.06,3
105/07/28,10000,18700,1.87,1.87,1.87,1.87,0.12,1
105/07/29,0,0,--,--,--,--,,0
105/08/01,20000,36000,1.79,1.81,1.79,1.81,X,2
105/08/02,20000,37400,1.85,1.89,1.85,1.89,0.08,2
105/08/03,0,0,--,--,--,--,,0
105/08/04,45000,94650,1.98,2.23,1.98,2.22,X,6
