105/06/01,80000,16000,0.20,0.20,0.20,0.20,-0.02,1
105/06/02,314000,64860,0.21,0.21,0.18,0.18,-0.02,4
105/06/03,420000,69200,0.17,0.17,0.16,0.16,-0.02,2
105/06/04,556000,97500,0.18,0.18,0.17,0.18,+0.02,7
105/06/06,100000,18000,0.18,0.18,0.18,0.18,0.00,1
105/06/07,198000,31680,0.17,0.17,0.15,0.15,-0.03,2
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,36000,5760,0.16,0.16,0.16,0.16,+0.01,1
105/06/16,150000,22500,0.15,0.15,0.15,0.15,-0.01,1
105/06/17,150000,19500,0.13,0.13,0.13,0.13,-0.02,1
105/06/20,140000,18200,0.13,0.13,0.13,0.13,0.00,2
105/06/21,160000,21000,0.13,0.14,0.13,0.14,+0.01,2
105/06/22,20000,2600,0.13,0.13,0.13,0.13,-0.01,1
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
