105/06/01,85000,105050,1.25,1.25,1.21,1.22,-0.08,4
105/06/02,10000,13050,1.30,1.31,1.30,1.31,+0.09,2
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,45000,61050,1.34,1.39,1.34,1.39,+0.06,3
105/06/07,0,0,---,---,---,---,---,0
105/06/08,10000,13300,1.33,1.33,1.33,1.33,-0.05,1
105/06/13,5000,7050,1.41,1.41,1.41,1.41,+0.08,2
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,9000,11520,1.28,1.28,1.28,1.28,-0.04,1
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,10000,13500,1.35,1.35,1.35,1.35,+0.05,1
105/06/24,10000,14200,1.42,1.42,1.42,1.42,+0.07,1
105/06/27,15000,21900,1.46,1.46,1.46,1.46,+0.04,2
105/06/28,21000,31300,1.50,1.50,1.46,1.46,0.00,3
105/06/29,16000,22240,1.39,1.39,1.39,1.39,-0.07,1
105/06/30,14000,18450,1.32,1.32,1.31,1.31,-0.08,2
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
