105/06/01,10000,2900,0.29,0.29,0.29,0.29,+0.01,1
105/06/02,10000,2600,0.26,0.26,0.26,0.26,-0.03,1
105/06/03,0,0,---,---,---,---,---,0
105/06/04,1000,300,0.30,0.30,0.30,0.30,+0.02,1
105/06/06,0,0,---,---,---,---,---,0
105/06/07,20000,5200,0.26,0.26,0.26,0.26,-0.04,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,10000,2700,0.27,0.27,0.27,0.27,0.00,1
105/06/14,0,0,---,---,---,---,---,0
105/06/15,1000,250,0.25,0.25,0.25,0.25,-0.02,1
105/06/16,0,0,---,---,---,---,---,0
105/06/17,10000,2400,0.24,0.24,0.24,0.24,-0.02,1
105/06/20,10000,2400,0.24,0.24,0.24,0.24,0.00,1
105/06/21,10000,2400,0.24,0.24,0.24,0.24,0.00,1
105/06/22,0,0,---,---,---,---,---,0
105/06/23,10000,2600,0.26,0.26,0.26,0.26,+0.01,1
105/06/24,32000,9380,0.28,0.30,0.28,0.30,+0.04,4
105/06/27,22000,6580,0.30,0.30,0.29,0.29,-0.01,3
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
