105/06/01,94000,19420,0.19,0.21,0.19,0.21,0.00,3
105/06/02,98000,19000,0.20,0.20,0.17,0.17,-0.04,2
105/06/03,20000,3000,0.15,0.15,0.15,0.15,-0.02,1
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,50000,8500,0.17,0.17,0.17,0.17,+0.01,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,1000000,80000,0.08,0.08,0.08,0.08,-0.02,5
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,111000,11100,0.10,0.10,0.10,0.10,+0.02,2
105/06/22,111000,8880,0.08,0.08,0.08,0.08,-0.02,1
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,98000,4900,0.05,0.05,0.05,0.05,+0.02,2
105/06/30,0,0,---,---,---,---,---,0
