105/06/01,577000,1649230,2.68,2.97,2.67,2.93,+0.26,27
105/06/02,300000,809300,2.76,2.76,2.55,2.55,-0.38,24
105/06/03,321000,853980,2.57,2.70,2.56,2.66,+0.11,10
105/06/04,185000,474610,2.57,2.57,2.56,2.57,-0.09,6
105/06/06,265000,719800,2.76,2.77,2.69,2.69,+0.12,7
105/06/07,441000,1304280,2.77,3.04,2.77,2.87,+0.18,18
105/06/08,213000,595960,2.88,2.90,2.68,2.68,-0.19,9
105/06/13,1000,2410,2.41,2.41,2.41,2.41,-0.27,1
105/06/14,140000,376300,2.42,2.80,2.42,2.80,+0.39,3
105/06/15,428000,1223900,2.83,2.97,2.83,2.97,+0.17,7
105/06/16,0,0,---,---,---,---,---,0
105/06/17,281000,1054660,3.86,3.86,3.74,3.76,+0.08,12
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
