105/06/01,13000,3740,0.29,0.29,0.28,0.28,-0.02,2
105/06/02,42000,10920,0.27,0.27,0.24,0.24,-0.04,4
105/06/03,50000,11400,0.23,0.23,0.22,0.22,-0.02,2
105/06/04,2000,520,0.26,0.26,0.26,0.26,+0.04,1
105/06/06,18000,3960,0.22,0.22,0.22,0.22,-0.04,2
105/06/07,0,0,---,---,---,---,---,0
105/06/08,2000,440,0.22,0.22,0.22,0.22,-0.01,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,20000,4600,0.23,0.23,0.23,0.23,+0.02,1
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
