105/06/01,70000,8200,0.11,0.12,0.11,0.12,+0.03,6
105/06/02,50000,4500,0.09,0.09,0.09,0.09,-0.03,1
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,20000,1600,0.08,0.08,0.08,0.08,-0.01,1
105/06/13,20000,1000,0.05,0.05,0.05,0.05,-0.03,1
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,100000,5000,0.05,0.05,0.05,0.05,0.00,2
105/06/17,50000,3000,0.06,0.06,0.06,0.06,+0.01,1
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
