105/06/01,35000,21150,0.60,0.61,0.60,0.61,+0.02,3
105/06/02,0,0,---,---,---,---,---,0
105/06/03,25000,14000,0.56,0.56,0.56,0.56,-0.02,1
105/06/04,10000,5700,0.57,0.57,0.57,0.57,+0.01,1
105/06/06,0,0,---,---,---,---,---,0
105/06/07,10000,5300,0.53,0.53,0.53,0.53,+0.02,1
105/06/08,25000,12500,0.50,0.50,0.50,0.50,-0.03,1
105/06/13,40000,17800,0.44,0.45,0.44,0.45,-0.05,2
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,983000,442440,0.44,0.47,0.44,0.47,+0.05,13
105/06/30,1729000,819030,0.46,0.49,0.46,0.48,+0.01,40
105/07/01,1503000,715000,0.49,0.49,0.46,0.46,-0.02,31
105/07/04,100000,46500,0.47,0.47,0.46,0.46,0.00,4
105/07/05,350000,148000,0.43,0.43,0.42,0.42,-0.04,2
105/07/06,100000,38000,0.38,0.38,0.38,0.38,-0.04,1
