105/06/01,53000,22490,0.43,0.43,0.41,0.41,+0.06,3
105/06/02,33000,12870,0.39,0.39,0.39,0.39,-0.02,1
105/06/03,0,0,---,---,---,---,---,0
105/06/04,20000,7200,0.36,0.36,0.36,0.36,+0.01,1
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,12000,3600,0.30,0.30,0.30,0.30,+0.02,1
105/06/13,500000,119000,0.23,0.25,0.23,0.25,-0.05,5
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,500000,90000,0.18,0.18,0.18,0.18,-0.03,2
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
