105/06/01,143000,101370,0.69,0.72,0.66,0.66,-0.03,6
105/06/02,94000,63920,0.68,0.68,0.68,0.68,+0.02,2
105/06/03,7000,3920,0.56,0.56,0.56,0.56,-0.12,2
105/06/04,233000,141800,0.64,0.64,0.60,0.62,+0.06,7
105/06/06,216000,147900,0.71,0.71,0.66,0.67,+0.05,13
105/06/07,7000,4900,0.70,0.70,0.70,0.70,+0.03,1
105/06/08,7000,4410,0.63,0.63,0.63,0.63,-0.07,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,124000,71180,0.56,0.62,0.56,0.62,+0.11,5
105/06/15,324000,225540,0.69,0.72,0.66,0.70,+0.08,8
105/06/16,276000,191200,0.70,0.70,0.69,0.69,-0.01,2
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,119000,80110,0.67,0.69,0.67,0.69,+0.05,3
105/06/22,119000,80920,0.68,0.68,0.68,0.68,-0.01,2
105/06/23,0,0,---,---,---,---,---,0
105/06/24,8000,3320,0.45,0.45,0.38,0.38,-0.09,2
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,4000,1000,0.25,0.25,0.25,0.25,-0.05,1
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
