105/06/01,170000,276870,1.63,1.71,1.59,1.64,-0.01,8
105/06/02,442000,828620,1.83,2.02,1.71,1.71,+0.07,22
105/06/03,203000,335110,1.70,1.70,1.64,1.66,-0.05,10
105/06/04,10000,16400,1.64,1.64,1.64,1.64,-0.02,1
105/06/06,143000,219980,1.58,1.58,1.48,1.51,-0.13,5
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,50000,52600,1.10,1.10,1.02,1.02,-0.17,2
105/06/17,2000,2220,1.11,1.11,1.11,1.11,+0.09,1
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,3000,2550,0.85,0.85,0.85,0.85,-0.13,1
105/06/23,35000,33600,0.96,0.96,0.96,0.96,+0.11,1
105/06/24,4000,3320,0.91,0.91,0.75,0.75,-0.21,2
105/06/27,0,0,---,---,---,---,---,0
105/06/28,100000,88000,0.88,0.88,0.88,0.88,+0.08,1
105/06/29,320000,321350,0.96,1.04,0.96,0.99,+0.11,6
105/06/30,292000,272990,0.90,0.96,0.90,0.93,-0.06,5
105/07/01,100000,90800,0.94,0.94,0.90,0.90,-0.03,2
105/07/04,70000,65600,0.86,0.96,0.86,0.96,+0.06,4
105/07/05,60000,54000,0.90,0.90,0.90,0.90,-0.06,1
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
