105/06/01,270000,129600,0.48,0.48,0.48,0.48,-0.01,4
105/06/02,145000,66700,0.46,0.46,0.46,0.46,-0.02,3
105/06/03,50000,22200,0.44,0.45,0.44,0.44,-0.02,3
105/06/04,20000,8400,0.42,0.42,0.42,0.42,-0.02,1
105/06/06,20000,8800,0.44,0.44,0.44,0.44,+0.02,1
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,63000,33650,0.53,0.55,0.53,0.54,+0.08,4
105/06/21,50000,26500,0.53,0.53,0.53,0.53,-0.01,1
105/06/22,88000,50160,0.57,0.57,0.57,0.57,+0.04,1
105/06/23,197000,108350,0.55,0.55,0.55,0.55,-0.02,2
105/06/24,142000,72160,0.51,0.51,0.49,0.49,-0.06,5
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,609000,354810,0.58,0.61,0.58,0.61,+0.04,5
105/07/05,1099000,651920,0.59,0.61,0.58,0.60,-0.01,16
105/07/06,580000,323900,0.57,0.57,0.55,0.56,-0.04,9
105/07/07,686000,399040,0.60,0.60,0.55,0.57,+0.01,5
105/07/11,206000,121540,0.59,0.59,0.59,0.59,+0.02,4
105/07/12,217000,124660,0.58,0.58,0.53,0.53,-0.06,3
105/07/13,113000,56370,0.50,0.50,0.49,0.49,-0.04,2
105/07/14,0,0,---,---,---,---,---,0
