105/06/01,10000,5700,0.57,0.57,0.57,0.57,-0.01,1
105/06/02,0,0,---,---,---,---,---,0
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,7000,1890,0.27,0.27,0.27,0.27,-0.13,1
105/06/14,0,0,---,---,---,---,---,0
105/06/15,20000,4600,0.23,0.23,0.23,0.23,-0.04,1
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,30000,6000,0.20,0.20,0.20,0.20,-0.02,1
105/06/22,0,0,---,---,---,---,---,0
105/06/23,9000,1260,0.14,0.14,0.14,0.14,-0.06,1
105/06/24,5000,500,0.10,0.10,0.10,0.10,-0.04,1
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
