105/06/01,200000,115400,0.58,0.60,0.57,0.57,-0.03,6
105/06/02,400000,209500,0.56,0.56,0.51,0.51,-0.06,3
105/06/03,80000,39400,0.50,0.50,0.47,0.47,-0.04,3
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,20000,8600,0.43,0.43,0.43,0.43,-0.06,1
105/06/14,15000,6450,0.43,0.43,0.43,0.43,0.00,1
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,16000,6080,0.38,0.38,0.38,0.38,-0.02,1
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,50000,17500,0.35,0.35,0.35,0.35,0.00,1
105/06/29,75000,29280,0.37,0.46,0.37,0.46,+0.11,3
105/06/30,25000,12980,0.50,0.52,0.50,0.52,+0.06,2
105/07/01,27000,13770,0.51,0.51,0.51,0.51,-0.01,3
105/07/04,70000,37300,0.53,0.54,0.53,0.54,+0.03,2
105/07/05,170000,90500,0.53,0.55,0.53,0.53,-0.01,4
