105/06/01,2000,1000,0.50,0.50,0.50,0.50,+0.05,1
105/06/02,3000,1270,0.45,0.45,0.37,0.37,-0.13,2
105/06/03,0,0,---,---,---,---,---,0
105/06/04,157000,61670,0.39,0.40,0.39,0.40,+0.04,8
105/06/06,157000,76930,0.49,0.49,0.49,0.49,+0.09,1
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,31000,11620,0.37,0.38,0.37,0.38,+0.05,3
105/06/15,31000,14260,0.46,0.46,0.46,0.46,+0.08,1
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
