105/06/01,10000,10200,1.02,1.02,1.02,1.02,+0.05,1
105/06/02,118000,121140,1.03,1.03,0.99,0.99,-0.03,2
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,5000,4750,0.95,0.95,0.95,0.95,-0.03,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,15000,11400,0.76,0.76,0.76,0.76,-0.03,1
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,68000,55760,0.82,0.82,0.82,0.82,+0.03,1
105/06/23,68000,57120,0.84,0.84,0.84,0.84,+0.02,1
105/06/24,0,0,---,---,---,---,---,0
105/06/27,18000,13140,0.73,0.73,0.73,0.73,-0.01,1
105/06/28,288000,223200,0.73,0.78,0.73,0.78,+0.05,16
