105/06/01,285000,231750,0.78,0.88,0.76,0.88,+0.21,12
105/06/02,220000,172110,0.80,0.80,0.75,0.79,-0.09,10
105/06/03,110000,78200,0.72,0.72,0.70,0.70,-0.09,4
105/06/04,21000,15490,0.70,0.79,0.70,0.79,+0.09,3
105/06/06,35000,25830,0.76,0.76,0.70,0.71,-0.08,4
105/06/07,10000,7240,0.72,0.73,0.72,0.73,+0.02,2
105/06/08,1000,720,0.72,0.72,0.72,0.72,-0.01,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,10000,6900,0.69,0.69,0.69,0.69,+0.12,1
105/06/17,96000,85550,0.70,1.00,0.70,0.92,+0.23,12
105/06/20,71000,74610,0.98,1.07,0.98,1.03,+0.11,4
105/06/21,65000,67200,1.08,1.08,0.96,0.96,-0.07,4
105/06/22,20000,23200,1.15,1.17,1.15,1.17,+0.21,2
105/06/23,20000,21020,1.06,1.06,1.04,1.04,-0.13,2
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
