105/06/01,239000,354450,1.43,1.51,1.43,1.48,+0.19,6
105/06/02,354000,453380,1.32,1.32,1.21,1.23,-0.25,8
105/06/03,100000,124000,1.24,1.24,1.24,1.24,+0.01,2
105/06/04,1000,1190,1.19,1.19,1.19,1.19,-0.05,1
105/06/06,5000,6420,1.29,1.29,1.28,1.28,+0.09,2
105/06/07,178000,257440,1.39,1.51,1.39,1.39,+0.11,13
105/06/08,187000,259300,1.39,1.44,1.36,1.36,-0.03,9
105/06/13,76000,83820,1.33,1.33,0.95,0.95,-0.41,6
105/06/14,506000,628840,1.04,1.36,1.04,1.36,+0.41,14
105/06/15,483000,632060,1.33,1.43,1.26,1.41,+0.05,11
105/06/16,15000,27300,1.82,1.82,1.82,1.82,+0.41,3
105/06/17,350000,733210,2.18,2.24,2.09,2.09,+0.27,8
105/06/20,3000,6270,2.09,2.09,2.09,2.09,0.00,1
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,14000,26320,1.88,1.88,1.88,1.88,-0.13,2
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,5000,7000,1.40,1.40,1.40,1.40,-0.10,1
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
