105/06/01,8000,3120,0.39,0.39,0.39,0.39,-0.02,1
105/06/02,0,0,---,---,---,---,---,0
105/06/03,0,0,---,---,---,---,---,0
105/06/04,10000,3600,0.36,0.36,0.36,0.36,-0.04,1
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,10000,3700,0.37,0.37,0.37,0.37,+0.02,1
105/06/14,0,0,---,---,---,---,---,0
105/06/15,20000,6600,0.33,0.33,0.33,0.33,-0.02,2
105/06/16,0,0,---,---,---,---,---,0
105/06/17,90000,18600,0.22,0.22,0.19,0.19,-0.11,8
105/06/20,20000,3200,0.16,0.16,0.16,0.16,-0.03,1
105/06/21,30000,4800,0.16,0.16,0.16,0.16,0.00,1
105/06/22,20000,2600,0.13,0.13,0.13,0.13,-0.03,2
105/06/23,20000,2800,0.14,0.14,0.14,0.14,+0.01,1
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,5000,500,0.10,0.10,0.10,0.10,-0.01,1
105/07/05,0,0,---,---,---,---,---,0
105/07/06,10000,800,0.08,0.08,0.08,0.08,-0.02,1
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
