105/06/01,266000,274160,1.01,1.08,1.01,1.08,+0.07,6
105/06/02,287000,289720,1.02,1.03,0.99,0.99,-0.09,13
105/06/03,116000,112600,0.98,1.01,0.95,1.01,+0.02,6
105/06/04,169000,167310,0.99,0.99,0.99,0.99,-0.02,1
105/06/06,76000,71440,0.94,0.94,0.94,0.94,-0.05,1
105/06/07,353000,307170,0.90,0.90,0.85,0.90,-0.04,7
105/06/08,532000,449400,0.87,0.87,0.84,0.84,-0.06,6
105/06/13,0,0,---,---,---,---,---,0
105/06/14,22000,17320,0.76,0.81,0.76,0.81,+0.01,2
105/06/15,11000,9050,0.82,0.85,0.82,0.85,+0.04,2
105/06/16,30000,24300,0.81,0.81,0.81,0.81,-0.04,2
105/06/17,10000,8600,0.86,0.86,0.86,0.86,+0.05,1
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,50000,32800,0.65,0.66,0.65,0.66,+0.02,3
105/07/14,0,0,---,---,---,---,---,0
105/07/15,15000,10350,0.69,0.69,0.69,0.69,0.00,1
105/07/18,15000,10350,0.69,0.69,0.69,0.69,0.00,1
105/07/19,0,0,---,---,---,---,---,0
