105/06/01,239000,75540,0.30,0.34,0.30,0.33,+0.06,4
105/06/02,352000,94560,0.28,0.28,0.26,0.26,-0.07,4
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,10000,2600,0.26,0.26,0.26,0.26,+0.02,1
105/06/07,10000,2400,0.24,0.24,0.24,0.24,-0.02,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,56000,16600,0.29,0.30,0.29,0.30,+0.05,3
105/06/14,56000,14560,0.26,0.26,0.26,0.26,-0.04,2
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,2000,680,0.34,0.34,0.34,0.34,+0.10,1
105/06/20,1000,360,0.36,0.36,0.36,0.36,+0.02,1
105/06/21,0,0,---,---,---,---,---,0
105/06/22,9000,2990,0.35,0.35,0.31,0.31,-0.03,2
105/06/23,0,0,---,---,---,---,---,0
105/06/24,22000,5720,0.26,0.26,0.26,0.26,0.00,1
105/06/27,22000,3960,0.18,0.18,0.18,0.18,-0.08,1
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
