105/06/01,1870000,1207760,0.59,0.70,0.59,0.68,+0.09,34
105/06/02,1742000,1185520,0.71,0.71,0.65,0.70,+0.02,40
105/06/03,276000,182950,0.70,0.70,0.64,0.64,-0.06,7
105/06/04,155000,99100,0.65,0.65,0.62,0.62,-0.02,6
105/06/06,150000,88000,0.58,0.59,0.58,0.59,-0.03,2
105/06/07,341000,217860,0.63,0.66,0.63,0.64,+0.05,7
105/06/08,241000,149220,0.62,0.62,0.60,0.60,-0.04,4
105/06/13,0,0,---,---,---,---,---,0
105/06/14,399000,242130,0.58,0.63,0.58,0.61,+0.03,10
105/06/15,754000,444810,0.57,0.61,0.57,0.61,0.00,16
105/06/16,445000,269350,0.60,0.65,0.59,0.65,+0.04,11
105/06/17,40000,24950,0.63,0.63,0.60,0.60,-0.05,3
105/06/20,20000,10800,0.54,0.54,0.54,0.54,-0.06,1
105/06/21,41000,21120,0.52,0.52,0.51,0.51,-0.03,2
105/06/22,55000,27450,0.50,0.51,0.49,0.49,-0.02,5
105/06/23,0,0,---,---,---,---,---,0
105/06/24,175000,71250,0.42,0.43,0.38,0.39,-0.10,9
105/06/27,70000,25900,0.37,0.37,0.37,0.37,-0.02,2
105/06/28,244000,91820,0.37,0.41,0.37,0.41,+0.04,7
105/06/29,552000,236650,0.43,0.44,0.42,0.42,+0.01,9
105/06/30,52000,24560,0.47,0.53,0.47,0.53,+0.11,2
105/07/01,80000,45400,0.56,0.58,0.56,0.58,+0.05,3
105/07/04,105000,63190,0.60,0.65,0.59,0.64,+0.06,8
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,10000,5500,0.55,0.55,0.55,0.55,-0.03,1
105/07/20,0,0,---,---,---,---,---,0
105/07/21,3000,1680,0.56,0.56,0.56,0.56,+0.03,1
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,20000,10000,0.50,0.50,0.50,0.50,-0.03,1
