105/06/01,179000,129400,0.70,0.75,0.70,0.70,+0.07,18
105/06/02,157000,105360,0.68,0.68,0.61,0.61,-0.09,6
105/06/03,20000,12000,0.60,0.60,0.60,0.60,-0.01,1
105/06/04,40000,27200,0.62,0.70,0.62,0.70,+0.10,5
105/06/06,0,0,---,---,---,---,---,0
105/06/07,5000,2550,0.51,0.51,0.51,0.51,-0.15,1
105/06/08,15000,8650,0.57,0.58,0.57,0.58,+0.07,2
105/06/13,90000,42200,0.46,0.47,0.46,0.47,-0.11,9
105/06/14,10000,4000,0.40,0.40,0.40,0.40,-0.07,1
105/06/15,0,0,---,---,---,---,---,0
105/06/16,35000,14200,0.42,0.42,0.40,0.40,-0.02,2
105/06/17,0,0,---,---,---,---,---,0
105/06/20,80000,30400,0.38,0.38,0.38,0.38,-0.03,1
105/06/21,10000,5200,0.52,0.52,0.52,0.52,+0.14,1
105/06/22,12000,6840,0.57,0.57,0.57,0.57,+0.05,2
105/06/23,0,0,---,---,---,---,---,0
105/06/24,2000,1240,0.62,0.62,0.62,0.62,+0.05,1
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,10000,5500,0.55,0.55,0.55,0.55,-0.02,1
105/07/05,10000,5400,0.54,0.54,0.54,0.54,-0.01,1
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
