105/06/01,218000,310420,1.26,1.49,1.26,1.46,+0.27,15
105/06/02,76000,103520,1.35,1.42,1.32,1.41,-0.05,10
105/06/03,20000,27400,1.37,1.37,1.37,1.37,-0.04,1
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,2000,2500,1.25,1.25,1.25,1.25,0.00,1
105/06/08,2000,2500,1.25,1.25,1.25,1.25,0.00,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
