105/06/01,0,0,--,--,--,--,,0
105/06/02,7000,44400,6.60,6.60,6.30,6.30,X,2
105/06/03,0,0,--,--,--,--,,0
105/06/04,4000,21000,5.40,5.40,5.10,5.10,X,4
105/06/06,6000,30330,5.30,5.30,4.92,4.92,-0.18,4
105/06/07,13000,67350,5.25,5.25,5.15,5.15,0.23,3
105/06/08,17000,89600,5.30,5.30,5.15,5.20,0.05,7
105/06/13,93000,506850,5.35,5.50,5.35,5.50,0.30,6
105/06/14,5000,29000,5.60,6.00,5.60,6.00,0.50,5
105/06/15,3000,17600,5.80,5.90,5.80,5.90,-0.10,2
105/06/16,4000,22050,5.75,5.75,5.35,5.40,-0.50,4
105/06/17,1000,5550,5.55,5.55,5.55,5.55,0.15,1
105/06/20,1000,5650,5.65,5.65,5.65,5.65,0.10,1
105/06/21,4000,22450,5.65,5.65,5.60,5.60,-0.05,2
105/06/22,2000,11050,5.60,5.60,5.45,5.45,-0.15,2
105/06/23,0,0,--,--,--,--,,0
105/06/24,24000,109220,5.15,5.20,4.15,4.41,X,14
105/06/27,25000,115300,4.60,4.82,4.54,4.71,0.30,11
105/06/28,30000,138190,4.60,4.65,4.58,4.64,-0.07,8
105/06/29,13000,68700,5.25,5.45,5.25,5.35,0.71,4
105/06/30,35000,178890,5.25,5.25,4.84,4.84,-0.51,15
105/07/01,9000,43210,4.82,4.92,4.70,4.70,-0.14,9
105/07/04,1000,4720,4.72,4.72,4.72,4.72,0.02,1
105/07/05,5000,23340,4.91,4.91,4.50,4.50,-0.22,5
105/07/06,5000,22460,4.36,4.54,4.36,4.50,,4
105/07/07,0,0,--,--,--,--,,0
105/07/11,4000,18410,4.66,4.66,4.43,4.43,X,2
105/07/12,40000,156300,4.03,4.04,3.86,3.86,-0.57,10
105/07/13,19000,74700,3.78,4.00,3.74,3.98,0.12,10
105/07/14,15000,67600,4.40,5.05,4.39,5.05,1.07,6
105/07/15,21000,107270,5.35,5.35,4.81,4.81,-0.24,6
105/07/18,15000,70870,4.85,4.85,4.67,4.71,-0.10,6
105/07/19,22000,112700,4.85,5.30,4.85,5.05,0.34,9
105/07/20,36000,172180,4.85,4.85,4.75,4.83,-0.22,11
105/07/21,19000,96050,5.00,5.15,5.00,5.05,0.22,5
105/07/22,143000,754900,5.50,5.50,5.20,5.20,0.15,17
105/07/25,136000,719250,5.35,5.45,5.15,5.20,,20
105/07/26,5000,25250,5.05,5.10,5.00,5.10,-0.10,4
105/07/27,20000,101880,5.10,5.10,4.98,4.98,-0.12,3
105/07/28,47000,233050,4.90,5.10,4.90,4.98,,11
