105/06/01,33000,8910,0.27,0.27,0.27,0.27,0.00,1
105/06/02,120000,28800,0.24,0.24,0.24,0.24,-0.03,2
105/06/03,150000,34000,0.23,0.23,0.22,0.22,-0.02,2
105/06/04,499000,96810,0.21,0.21,0.18,0.19,-0.03,5
105/06/06,150000,27000,0.18,0.18,0.18,0.18,-0.01,2
105/06/07,210000,42000,0.20,0.20,0.20,0.20,+0.02,3
105/06/08,198000,38610,0.20,0.20,0.19,0.19,-0.01,2
105/06/13,150000,24000,0.16,0.16,0.16,0.16,-0.03,1
105/06/14,3000,420,0.14,0.14,0.14,0.14,-0.02,1
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,300000,39000,0.13,0.13,0.13,0.13,0.00,3
105/06/23,200000,25000,0.13,0.13,0.12,0.12,-0.01,2
105/06/24,400000,41000,0.11,0.11,0.10,0.10,-0.02,4
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
