105/06/01,32000,17940,0.56,0.57,0.56,0.57,-0.01,2
105/06/02,60000,34500,0.58,0.58,0.57,0.57,0.00,2
105/06/03,120000,63300,0.54,0.54,0.52,0.52,-0.05,4
105/06/04,194000,110680,0.54,0.58,0.54,0.58,+0.06,7
105/06/06,0,0,---,---,---,---,---,0
105/06/07,30000,16500,0.55,0.55,0.55,0.55,-0.03,1
105/06/08,270000,133200,0.50,0.50,0.49,0.49,-0.06,5
105/06/13,184000,90440,0.47,0.51,0.47,0.51,+0.02,4
105/06/14,249000,129480,0.52,0.52,0.52,0.52,+0.01,4
105/06/15,155000,83700,0.54,0.54,0.54,0.54,+0.02,3
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,2000,740,0.37,0.37,0.37,0.37,-0.06,1
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,3000,1020,0.34,0.34,0.34,0.34,-0.05,1
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
