105/06/01,20000,16600,0.82,0.84,0.82,0.84,+0.01,2
105/06/02,20000,18200,0.86,0.96,0.86,0.96,+0.12,2
105/06/03,1000,930,0.93,0.93,0.93,0.93,-0.03,1
105/06/04,10000,8300,0.83,0.83,0.83,0.83,-0.10,1
105/06/06,25000,23350,0.92,0.95,0.92,0.93,+0.10,3
105/06/07,25000,20850,0.84,0.84,0.83,0.83,-0.10,2
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,70000,56000,0.80,0.80,0.80,0.80,-0.10,1
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
