105/06/01,631000,853020,1.27,1.44,1.27,1.34,+0.15,13
105/06/02,355000,483850,1.36,1.44,1.30,1.40,+0.06,9
105/06/03,94000,121340,1.32,1.32,1.23,1.23,-0.17,4
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,10000,12500,1.25,1.25,1.25,1.25,+0.02,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,16000,17120,1.07,1.07,1.07,1.07,-0.12,1
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,3000,3630,1.15,1.24,1.15,1.24,+0.08,2
105/06/30,0,0,---,---,---,---,---,0
105/07/01,1000,990,0.99,0.99,0.99,0.99,-0.15,1
105/07/04,1000,1140,1.14,1.14,1.14,1.14,+0.15,1
105/07/05,1000,1190,1.19,1.19,1.19,1.19,+0.05,1
105/07/06,2000,2060,1.03,1.03,1.03,1.03,-0.16,1
105/07/07,40000,49200,1.23,1.23,1.23,1.23,+0.20,1
105/07/11,40000,54800,1.37,1.37,1.37,1.37,+0.14,1
105/07/12,5000,6200,1.24,1.24,1.24,1.24,-0.13,1
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
