105/06/01,3000,1440,0.48,0.48,0.48,0.48,+0.31,3
105/06/02,220000,91200,0.51,0.51,0.41,0.41,-0.07,4
105/06/03,2000,820,0.41,0.41,0.41,0.41,0.00,1
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,5000,2350,0.47,0.47,0.47,0.47,-0.01,1
105/06/08,36000,17020,0.47,0.49,0.47,0.47,0.00,3
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,3000,1230,0.41,0.41,0.41,0.41,0.00,1
105/06/20,30000,10800,0.36,0.36,0.36,0.36,-0.05,1
105/06/21,0,0,---,---,---,---,---,0
105/06/22,5000,1800,0.36,0.36,0.36,0.36,0.00,1
105/06/23,28000,8800,0.33,0.33,0.30,0.30,-0.06,4
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,70000,19700,0.29,0.29,0.28,0.28,-0.02,2
105/06/29,0,0,---,---,---,---,---,0
105/06/30,111000,32030,0.29,0.29,0.13,0.13,-0.16,3
105/07/01,111000,31080,0.28,0.28,0.28,0.28,+0.15,102
105/07/04,0,0,---,---,---,---,---,0
105/07/05,30000,7500,0.25,0.25,0.25,0.25,+0.01,1
105/07/06,0,0,---,---,---,---,---,0
105/07/07,1000,240,0.24,0.24,0.24,0.24,+0.01,1
105/07/11,0,0,---,---,---,---,---,0
105/07/12,31000,7130,0.23,0.23,0.23,0.23,0.00,1
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
