105/06/01,58000,17560,0.31,0.31,0.30,0.30,+0.01,2
105/06/02,44000,12600,0.30,0.30,0.27,0.27,-0.03,2
105/06/03,169000,42250,0.25,0.25,0.25,0.25,-0.02,3
105/06/04,230000,45800,0.19,0.20,0.19,0.20,-0.05,4
105/06/06,58000,9860,0.17,0.17,0.17,0.17,-0.03,1
105/06/07,0,0,---,---,---,---,---,0
105/06/08,55000,8800,0.16,0.16,0.16,0.16,-0.01,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,80000,10100,0.13,0.13,0.12,0.12,-0.02,2
105/06/16,80000,9600,0.12,0.12,0.12,0.12,0.00,1
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,438000,26780,0.07,0.07,0.05,0.05,-0.05,6
105/06/24,318000,12720,0.04,0.04,0.04,0.04,-0.01,14
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,20000,200,0.01,0.01,0.01,0.01,-0.03,1
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
