105/06/01,200000,690800,3.25,3.54,3.25,3.43,+0.24,13
105/06/02,22000,71780,3.28,3.28,3.09,3.09,-0.34,2
105/06/03,63000,198330,3.16,3.21,3.13,3.21,+0.12,5
105/06/04,6000,18910,3.11,3.16,3.11,3.16,-0.05,2
105/06/06,92000,297560,3.23,3.24,3.22,3.24,+0.08,5
105/06/07,30000,105000,3.50,3.50,3.50,3.50,+0.26,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,40000,118600,2.96,2.97,2.96,2.97,+0.04,2
105/06/15,40000,136040,3.41,3.41,3.38,3.38,+0.41,3
105/06/16,0,0,---,---,---,---,---,0
105/06/17,3000,13620,4.54,4.54,4.54,4.54,+0.09,1
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,1000,4100,4.10,4.10,4.10,4.10,-0.45,1
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
