105/06/01,10000,5200,0.52,0.52,0.52,0.52,-0.01,1
105/06/02,110000,49600,0.45,0.46,0.45,0.46,-0.06,2
105/06/03,0,0,---,---,---,---,---,0
105/06/04,100000,36700,0.38,0.38,0.34,0.35,-0.09,5
105/06/06,39000,12780,0.32,0.33,0.32,0.33,-0.02,3
105/06/07,191000,64940,0.34,0.34,0.34,0.34,+0.01,3
105/06/08,183000,64070,0.36,0.36,0.35,0.36,+0.02,4
105/06/13,0,0,---,---,---,---,---,0
105/06/14,18000,4320,0.24,0.24,0.24,0.24,0.00,2
105/06/15,100000,22000,0.22,0.22,0.22,0.22,-0.02,1
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
