105/06/01,120000,18100,0.13,0.18,0.13,0.18,+0.03,4
105/06/02,150000,24500,0.17,0.17,0.15,0.15,-0.03,2
105/06/03,130000,19500,0.15,0.15,0.15,0.15,0.00,3
105/06/04,90000,18000,0.20,0.20,0.20,0.20,+0.05,3
105/06/06,210000,39200,0.19,0.20,0.18,0.18,-0.02,5
105/06/07,50000,9500,0.19,0.19,0.19,0.19,+0.01,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,100000,12500,0.13,0.13,0.12,0.12,-0.04,6
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,80000,4800,0.06,0.06,0.06,0.06,0.00,1
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,300000,6000,0.02,0.02,0.02,0.02,-0.01,2
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
