105/06/01,100000,63000,0.63,0.63,0.63,0.63,+0.15,1
105/06/02,220000,129200,0.63,0.63,0.54,0.54,-0.09,3
105/06/03,100000,59000,0.59,0.59,0.59,0.59,+0.05,1
105/06/04,6000,4020,0.67,0.67,0.67,0.67,+0.08,1
105/06/06,10000,5400,0.54,0.54,0.54,0.54,-0.13,1
105/06/07,51000,29020,0.57,0.57,0.52,0.52,-0.02,2
105/06/08,65000,35870,0.55,0.57,0.54,0.54,+0.02,3
105/06/13,0,0,---,---,---,---,---,0
105/06/14,50000,24500,0.49,0.49,0.49,0.49,0.00,1
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,465000,295350,0.62,0.65,0.62,0.62,+0.12,12
105/06/20,361000,214440,0.58,0.63,0.58,0.61,-0.01,10
105/06/21,742000,494120,0.65,0.73,0.65,0.70,+0.09,11
105/06/22,141000,97750,0.70,0.70,0.67,0.67,-0.03,7
105/06/23,299000,219750,0.75,0.79,0.66,0.66,-0.01,6
105/06/24,200000,91200,0.51,0.51,0.45,0.45,-0.21,2
105/06/27,18000,8940,0.51,0.51,0.48,0.48,+0.03,2
105/06/28,10000,4800,0.48,0.48,0.48,0.48,0.00,1
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,269000,162590,0.59,0.61,0.59,0.61,+0.12,6
105/07/05,170000,91800,0.54,0.54,0.54,0.54,-0.07,3
105/07/06,215000,129140,0.58,0.65,0.58,0.61,+0.07,6
105/07/07,140000,95040,0.70,0.70,0.64,0.64,+0.03,5
105/07/11,24000,14880,0.62,0.62,0.62,0.62,-0.02,1
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
