105/06/01,43000,91220,2.13,2.14,2.07,2.14,+0.39,3
105/06/02,0,0,---,---,---,---,---,0
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,65000,122200,1.82,1.93,1.82,1.93,-0.02,3
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,10000,25000,2.50,2.50,2.50,2.50,+0.24,1
105/06/17,0,0,---,---,---,---,---,0
105/06/20,20000,48600,2.43,2.43,2.43,2.43,-0.05,3
105/06/21,10000,24000,2.40,2.40,2.40,2.40,-0.03,1
105/06/22,10000,25200,2.52,2.52,2.52,2.52,+0.12,1
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
