105/06/01,273000,34340,0.14,0.14,0.12,0.12,-0.02,25
105/06/02,677000,55810,0.10,0.10,0.07,0.08,-0.04,74
105/06/03,320000,19400,0.07,0.07,0.06,0.06,-0.02,32
105/06/04,90000,5100,0.06,0.06,0.05,0.05,-0.01,8
105/06/06,1049000,36450,0.04,0.07,0.03,0.03,-0.02,75
105/06/07,30000,1200,0.04,0.04,0.04,0.04,+0.01,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,158000,3160,0.02,0.02,0.02,0.02,-0.02,3
105/06/14,10000,300,0.03,0.03,0.03,0.03,+0.01,1
105/06/15,110000,2500,0.03,0.03,0.02,0.02,-0.01,2
105/06/16,32000,960,0.03,0.03,0.03,0.03,+0.01,2
105/06/17,78000,1560,0.02,0.02,0.02,0.02,-0.01,1
105/06/20,150000,3000,0.02,0.02,0.02,0.02,0.00,1
105/06/21,0,0,---,---,---,---,---,0
105/06/22,30000,600,0.02,0.02,0.02,0.02,0.00,1
105/06/23,200000,4000,0.02,0.02,0.02,0.02,0.00,1
105/06/24,436000,4360,0.01,0.01,0.01,0.01,-0.01,2
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,290000,2900,0.01,0.01,0.01,0.01,0.00,3
105/06/30,50000,1000,0.02,0.02,0.02,0.02,+0.01,1
105/07/01,297000,2970,0.01,0.01,0.01,0.01,-0.01,3
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
