105/06/01,155000,69770,0.45,0.47,0.45,0.47,+0.04,2
105/06/02,154000,67760,0.44,0.44,0.44,0.44,-0.03,1
105/06/03,5000,2150,0.43,0.43,0.43,0.43,-0.01,1
105/06/04,114000,47880,0.42,0.42,0.42,0.42,-0.01,1
105/06/06,115000,47130,0.41,0.41,0.39,0.39,-0.03,3
105/06/07,6000,2120,0.37,0.37,0.35,0.35,-0.04,2
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,5000,1300,0.26,0.26,0.26,0.26,-0.01,1
105/06/21,0,0,---,---,---,---,---,0
105/06/22,14000,4060,0.29,0.29,0.29,0.29,+0.02,1
105/06/23,5000,1350,0.27,0.27,0.27,0.27,-0.02,1
105/06/24,0,0,---,---,---,---,---,0
105/06/27,5000,1100,0.22,0.22,0.22,0.22,-0.01,1
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
