105/06/01,104000,139460,1.34,1.35,1.34,1.35,-0.02,5
105/06/02,64000,85800,1.32,1.35,1.32,1.35,0.00,2
105/06/03,74000,98420,1.33,1.33,1.33,1.33,-0.02,3
105/06/04,20000,26400,1.32,1.32,1.32,1.32,-0.01,1
105/06/06,30000,36600,1.22,1.22,1.22,1.22,-0.10,1
105/06/07,100000,121000,1.21,1.21,1.21,1.21,-0.01,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,28000,29400,1.05,1.05,1.05,1.05,-0.05,1
105/06/15,371000,427650,1.13,1.17,1.13,1.17,+0.12,11
105/06/16,622000,748510,1.20,1.26,1.16,1.26,+0.09,21
105/06/17,336000,415610,1.22,1.26,1.22,1.26,0.00,11
105/06/20,60000,72000,1.20,1.20,1.20,1.20,-0.06,2
105/06/21,0,0,---,---,---,---,---,0
105/06/22,50000,58750,1.17,1.18,1.17,1.18,0.00,2
105/06/23,50000,59000,1.18,1.18,1.18,1.18,0.00,1
105/06/24,79000,99910,1.21,1.31,1.21,1.31,+0.13,4
105/06/27,61000,76570,1.26,1.26,1.25,1.26,-0.05,3
105/06/28,93000,118590,1.25,1.29,1.25,1.29,+0.03,3
105/06/29,78000,93600,1.20,1.20,1.20,1.20,-0.09,3
105/06/30,3000,3390,1.13,1.13,1.13,1.13,-0.07,1
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,53000,61000,1.15,1.16,1.15,1.16,+0.01,3
105/07/06,253000,305200,1.20,1.23,1.19,1.21,+0.05,8
105/07/07,220000,258320,1.19,1.19,1.17,1.19,-0.02,16
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
