105/06/01,527000,380450,0.70,0.74,0.69,0.74,-0.03,5
105/06/02,396000,276210,0.71,0.71,0.69,0.69,-0.05,3
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,150000,81500,0.55,0.55,0.54,0.54,0.00,3
105/07/12,115000,85550,0.72,0.75,0.72,0.74,+0.20,4
105/07/13,325000,265530,0.85,0.85,0.78,0.78,+0.04,6
105/07/14,259000,192960,0.75,0.75,0.72,0.72,-0.06,5
105/07/15,119000,89760,0.76,0.77,0.75,0.76,+0.04,6
105/07/18,517000,467060,0.92,0.94,0.86,0.86,+0.10,20
105/07/19,276000,210720,0.76,0.78,0.76,0.77,-0.09,5
105/07/20,358000,301310,0.80,0.85,0.80,0.85,+0.08,5
105/07/21,321000,267720,0.84,0.84,0.83,0.83,-0.02,2
105/07/22,5000,3750,0.75,0.75,0.75,0.75,-0.08,1
