105/06/01,1340000,304900,0.20,0.25,0.19,0.24,+0.07,13
105/06/02,938000,225140,0.24,0.25,0.24,0.25,+0.01,9
105/06/03,370000,85500,0.24,0.24,0.22,0.22,-0.03,6
105/06/04,150000,31000,0.21,0.21,0.20,0.20,-0.02,2
105/06/06,67000,11390,0.17,0.17,0.17,0.17,-0.03,2
105/06/07,341000,72610,0.22,0.22,0.20,0.20,+0.03,4
105/06/08,40000,7400,0.19,0.19,0.17,0.19,-0.01,3
105/06/13,900000,145000,0.16,0.17,0.16,0.17,-0.02,3
105/06/14,0,0,---,---,---,---,---,0
105/06/15,1205000,192860,0.16,0.17,0.15,0.16,-0.01,5
105/06/16,2076000,373800,0.17,0.20,0.17,0.20,+0.04,9
105/06/17,1616000,274880,0.18,0.18,0.15,0.15,-0.05,4
105/06/20,805000,116650,0.15,0.15,0.13,0.13,-0.02,3
105/06/21,90000,9900,0.11,0.11,0.11,0.11,-0.02,1
105/06/22,1200000,128000,0.12,0.12,0.10,0.10,-0.01,4
105/06/23,20000,2200,0.11,0.11,0.11,0.11,+0.01,1
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,55000,3000,0.05,0.10,0.05,0.10,+0.02,2
105/06/29,10000,800,0.08,0.08,0.08,0.08,-0.02,1
105/06/30,200000,18050,0.07,0.10,0.07,0.10,+0.02,6
105/07/01,870000,100500,0.10,0.13,0.10,0.13,+0.03,5
105/07/04,1205000,161650,0.12,0.15,0.12,0.13,0.00,6
105/07/05,470000,54900,0.12,0.12,0.11,0.11,-0.02,4
105/07/06,330000,33200,0.11,0.11,0.10,0.10,-0.01,4
105/07/07,0,0,---,---,---,---,---,0
105/07/11,20000,2000,0.10,0.10,0.10,0.10,0.00,1
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
