105/06/01,27000,50760,1.88,1.88,1.88,1.88,-0.10,2
105/06/02,0,0,---,---,---,---,---,0
105/06/03,35000,68400,1.95,1.98,1.95,1.98,+0.05,2
105/06/04,30000,58800,1.96,1.96,1.96,1.96,-0.02,1
105/06/06,0,0,---,---,---,---,---,0
105/06/07,6000,11220,1.87,1.87,1.87,1.87,-0.09,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,5000,8900,1.78,1.78,1.78,1.78,-0.05,1
105/06/22,0,0,---,---,---,---,---,0
105/06/23,2000,3700,1.85,1.85,1.85,1.85,+0.06,1
105/06/24,74000,141920,1.88,1.92,1.88,1.92,+0.07,4
105/06/27,4000,7720,1.93,1.93,1.93,1.93,+0.01,1
105/06/28,70000,130200,1.86,1.86,1.86,1.86,-0.07,1
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,2000,3400,1.70,1.70,1.70,1.70,-0.07,1
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
