105/06/01,1389000,199230,0.16,0.16,0.13,0.14,-0.03,18
105/06/02,365000,61250,0.15,0.17,0.15,0.17,+0.03,9
105/06/03,253000,39420,0.15,0.16,0.14,0.15,-0.02,6
105/06/04,931000,140250,0.15,0.16,0.15,0.16,+0.01,6
105/06/06,680000,88500,0.13,0.14,0.13,0.13,-0.03,9
105/06/07,646000,63400,0.12,0.12,0.09,0.11,-0.02,15
105/06/08,571000,60790,0.09,0.12,0.09,0.12,+0.01,13
105/06/13,140000,15950,0.18,0.18,0.11,0.13,+0.01,4
105/06/14,609000,44280,0.08,0.08,0.07,0.07,-0.06,7
105/06/15,16000,960,0.06,0.06,0.06,0.06,-0.01,2
105/06/16,150000,1500,0.01,0.01,0.01,0.01,-0.05,3
105/06/17,2128000,41560,0.01,0.02,0.01,0.02,+0.01,18
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,285000,2850,0.01,0.01,0.01,0.01,-0.01,5
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
