105/06/01,745000,352490,0.46,0.54,0.45,0.50,+0.06,41
105/06/02,258000,107650,0.47,0.48,0.37,0.39,-0.11,20
105/06/03,147000,50310,0.41,0.41,0.33,0.37,-0.02,9
105/06/04,48000,17860,0.38,0.39,0.34,0.38,+0.01,8
105/06/06,151000,49040,0.35,0.35,0.32,0.34,-0.04,4
105/06/07,193000,66470,0.31,0.36,0.31,0.36,+0.02,17
105/06/08,60000,26000,0.39,0.46,0.39,0.46,+0.10,6
105/06/13,20000,5850,0.29,0.30,0.29,0.30,-0.16,3
105/06/14,26000,8280,0.31,0.33,0.31,0.33,+0.03,3
105/06/15,44000,14410,0.32,0.36,0.32,0.36,+0.03,6
105/06/16,811000,226880,0.28,0.28,0.27,0.27,-0.09,11
105/06/17,0,0,---,---,---,---,---,0
105/06/20,70000,16800,0.24,0.24,0.24,0.24,-0.03,2
105/06/21,50000,12000,0.24,0.24,0.24,0.24,0.00,1
105/06/22,25000,5500,0.22,0.22,0.22,0.22,-0.02,1
105/06/23,0,0,---,---,---,---,---,0
105/06/24,90000,11500,0.15,0.15,0.11,0.12,-0.08,4
105/06/27,0,0,---,---,---,---,---,0
105/06/28,33000,4320,0.13,0.14,0.13,0.14,+0.01,3
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,1000,110,0.11,0.11,0.11,0.11,-0.03,1
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,30000,300,0.01,0.01,0.01,0.01,-0.03,1
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
