105/06/01,200000,750000,3.75,3.75,3.75,3.75,+1.05,8
105/06/02,33000,107580,3.26,3.26,3.26,3.26,-0.49,4
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,5000,20000,4.00,4.00,4.00,4.00,+0.74,1
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,5000,16800,3.36,3.36,3.36,3.36,-0.26,1
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,100000,266000,2.66,2.66,2.66,2.66,-0.47,1
105/06/29,0,0,---,---,---,---,---,0
105/06/30,200000,376000,1.88,1.88,1.88,1.88,-0.78,2
105/07/01,200000,512000,2.54,2.58,2.54,2.58,+0.70,2
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
