105/06/01,20000,5600,0.28,0.28,0.28,0.28,+0.05,1
105/06/02,40000,9200,0.23,0.23,0.23,0.23,-0.05,1
105/06/03,0,0,---,---,---,---,---,0
105/06/04,30000,6300,0.21,0.21,0.21,0.21,0.00,1
105/06/06,10000,2100,0.21,0.21,0.21,0.21,0.00,1
105/06/07,0,0,---,---,---,---,---,0
105/06/08,20000,4400,0.22,0.22,0.22,0.22,+0.01,1
105/06/13,50000,12500,0.25,0.25,0.25,0.25,+0.03,1
105/06/14,0,0,---,---,---,---,---,0
105/06/15,20000,4200,0.21,0.21,0.21,0.21,0.00,1
105/06/16,80000,16000,0.20,0.20,0.20,0.20,-0.01,4
105/06/17,70000,18500,0.25,0.28,0.25,0.28,+0.08,4
105/06/20,20000,6600,0.33,0.33,0.33,0.33,+0.05,2
105/06/21,20000,5200,0.26,0.26,0.26,0.26,-0.07,2
105/06/22,20000,5200,0.26,0.26,0.26,0.26,0.00,1
105/06/23,30000,6900,0.23,0.23,0.23,0.23,-0.03,2
105/06/24,21000,3160,0.15,0.16,0.15,0.16,-0.07,3
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,81000,16700,0.21,0.21,0.20,0.21,+0.05,4
105/06/30,0,0,---,---,---,---,---,0
105/07/01,99000,16830,0.17,0.17,0.17,0.17,-0.02,1
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
