105/06/01,10000,13550,1.44,1.44,1.27,1.27,-0.13,2
105/06/02,235000,319100,1.26,1.36,1.26,1.36,+0.09,4
105/06/03,247000,348570,1.32,1.43,1.27,1.27,-0.09,6
105/06/04,85000,90060,1.08,1.11,1.05,1.05,-0.22,3
105/06/06,8000,7490,0.88,0.97,0.88,0.97,-0.08,2
105/06/07,55000,65450,1.19,1.19,1.19,1.19,+0.22,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,55000,46200,0.84,0.84,0.84,0.84,-0.09,1
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
