105/06/01,30000,11400,0.39,0.39,0.37,0.37,-0.01,3
105/06/02,30000,9600,0.32,0.32,0.32,0.32,-0.05,2
105/06/03,0,0,---,---,---,---,---,0
105/06/04,390000,101400,0.26,0.26,0.26,0.26,-0.06,2
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,700000,149000,0.23,0.23,0.20,0.20,-0.07,3
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,360000,29000,0.09,0.09,0.08,0.08,-0.04,36
105/06/28,20000,2000,0.10,0.10,0.10,0.10,+0.02,1
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,60000,4800,0.08,0.08,0.08,0.08,-0.02,6
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,40000,4200,0.11,0.11,0.10,0.10,+0.02,4
105/07/21,30000,2850,0.10,0.10,0.09,0.09,-0.01,4
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
105/08/03,91000,10010,0.11,0.11,0.11,0.11,+0.03,1
105/08/04,80000,9600,0.12,0.12,0.12,0.12,+0.01,1
105/08/05,326000,35860,0.11,0.11,0.11,0.11,-0.01,3
105/08/09,0,0,---,---,---,---,---,0
105/08/10,0,0,---,---,---,---,---,0
105/08/11,610000,59890,0.10,0.10,0.09,0.09,+0.01,13
