105/06/01,271000,253330,0.98,0.98,0.92,0.92,-0.12,3
105/06/02,199000,183080,0.92,0.92,0.92,0.92,0.00,1
105/06/03,398000,370140,0.91,0.95,0.91,0.95,+0.03,2
105/06/04,398000,370600,0.95,0.95,0.93,0.93,-0.02,8
105/06/06,0,0,---,---,---,---,---,0
105/06/07,20000,19000,0.95,0.95,0.95,0.95,+0.03,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,240000,205040,0.84,0.88,0.84,0.88,+0.10,3
105/06/17,230000,186720,0.81,0.84,0.80,0.84,-0.04,13
105/06/20,10000,7600,0.76,0.76,0.76,0.76,-0.08,1
105/06/21,69000,51750,0.75,0.75,0.75,0.75,-0.01,1
105/06/22,69000,50370,0.73,0.73,0.73,0.73,-0.02,1
105/06/23,0,0,---,---,---,---,---,0
105/06/24,91000,70570,0.74,0.82,0.74,0.82,+0.09,3
105/06/27,90000,71100,0.79,0.79,0.79,0.79,-0.03,2
105/06/28,1000,730,0.73,0.73,0.73,0.73,-0.06,1
105/06/29,20000,13000,0.65,0.65,0.65,0.65,-0.08,1
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
