105/06/01,5000,1950,0.39,0.39,0.39,0.39,-0.01,1
105/06/02,10000,4500,0.45,0.45,0.45,0.45,+0.06,1
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,20000,9200,0.44,0.48,0.44,0.48,+0.04,2
105/06/13,0,0,---,---,---,---,---,0
105/06/14,10000,4900,0.49,0.49,0.49,0.49,+0.04,1
105/06/15,20000,9400,0.47,0.47,0.47,0.47,-0.02,1
105/06/16,20000,9800,0.49,0.49,0.49,0.49,+0.02,1
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,300000,177000,0.59,0.59,0.59,0.59,+0.06,2
105/06/23,300000,165000,0.55,0.55,0.55,0.55,-0.04,2
105/06/24,0,0,---,---,---,---,---,0
105/06/27,120000,55200,0.46,0.46,0.46,0.46,+0.03,1
105/06/28,519000,247460,0.45,0.49,0.45,0.48,+0.02,9
105/06/29,599000,299510,0.50,0.51,0.49,0.51,+0.03,7
105/06/30,219000,106120,0.49,0.49,0.48,0.48,-0.03,3
105/07/01,239000,130530,0.51,0.64,0.50,0.62,+0.14,8
105/07/04,748000,456250,0.58,0.64,0.58,0.64,+0.02,7
105/07/05,563000,379010,0.70,0.70,0.65,0.65,+0.01,6
105/07/06,18000,10560,0.59,0.59,0.58,0.58,-0.07,2
105/07/07,18000,9720,0.54,0.54,0.54,0.54,-0.04,1
105/07/11,150000,91500,0.61,0.61,0.61,0.61,+0.07,2
105/07/12,150000,63000,0.42,0.42,0.42,0.42,-0.19,2
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
105/08/03,0,0,---,---,---,---,---,0
105/08/04,0,0,---,---,---,---,---,0
