105/06/01,77000,59590,0.77,0.80,0.77,0.80,+0.01,3
105/06/02,40000,30000,0.75,0.75,0.75,0.75,-0.05,1
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,245000,186210,0.75,0.77,0.75,0.77,+0.10,5
105/06/08,245000,171480,0.69,0.70,0.69,0.70,-0.07,2
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,496000,313480,0.62,0.67,0.62,0.67,+0.04,5
105/06/23,496000,303860,0.64,0.64,0.59,0.59,-0.08,7
105/06/24,100000,54000,0.56,0.56,0.52,0.52,-0.07,2
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,21000,9450,0.45,0.45,0.45,0.45,+0.03,1
105/06/30,21000,9450,0.45,0.45,0.45,0.45,0.00,1
105/07/01,0,0,---,---,---,---,---,0
105/07/04,5000,1600,0.32,0.32,0.32,0.32,-0.07,1
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,3000,600,0.20,0.20,0.20,0.20,-0.02,1
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
105/08/03,0,0,---,---,---,---,---,0
105/08/04,0,0,---,---,---,---,---,0
105/08/05,0,0,---,---,---,---,---,0
