105/06/01,253000,214620,0.78,0.89,0.78,0.89,+0.10,6
105/06/02,93000,82770,0.90,0.90,0.88,0.89,0.00,6
105/06/03,8000,6480,0.81,0.81,0.81,0.81,-0.08,1
105/06/04,100000,78000,0.78,0.78,0.78,0.78,-0.03,1
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,99000,71280,0.72,0.72,0.72,0.72,-0.01,1
105/06/16,109000,83240,0.76,0.80,0.76,0.80,+0.08,2
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,10000,5900,0.59,0.59,0.59,0.59,+0.01,1
105/06/24,30000,13500,0.55,0.55,0.40,0.40,-0.19,2
105/06/27,10000,4400,0.44,0.44,0.44,0.44,+0.04,1
105/06/28,60000,26200,0.38,0.48,0.38,0.48,+0.04,6
105/06/29,60000,29220,0.48,0.51,0.48,0.51,+0.03,7
105/06/30,107000,58690,0.53,0.58,0.52,0.58,+0.07,11
105/07/01,87000,54570,0.62,0.65,0.61,0.61,+0.03,5
105/07/04,20000,15100,0.70,0.81,0.70,0.81,+0.20,2
105/07/05,10000,6900,0.69,0.69,0.69,0.69,-0.12,1
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
