105/06/01,358000,418850,1.15,1.21,1.14,1.20,+0.03,22
105/06/02,140000,153700,1.14,1.14,1.07,1.07,-0.13,7
105/06/03,169000,167960,1.01,1.01,0.94,0.94,-0.13,3
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,185000,213280,1.14,1.17,1.14,1.17,+0.16,3
105/06/08,109000,112950,1.07,1.07,1.01,1.03,-0.14,14
105/06/13,0,0,---,---,---,---,---,0
105/06/14,126000,114800,0.94,0.94,0.90,0.90,+0.01,3
105/06/15,50000,45000,0.90,0.90,0.90,0.90,0.00,1
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,25000,26080,1.04,1.05,1.03,1.04,+0.14,4
105/06/21,34000,37950,1.12,1.15,1.05,1.05,+0.01,5
105/06/22,264000,269430,0.99,1.06,0.98,1.05,0.00,10
105/06/23,352000,342890,1.00,1.03,0.69,0.98,-0.07,21
105/06/24,158000,136290,0.91,0.91,0.73,0.73,-0.25,6
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,10000,7000,0.70,0.70,0.70,0.70,-0.03,1
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,70000,46900,0.67,0.67,0.67,0.67,+0.09,1
105/07/18,70000,45700,0.66,0.66,0.65,0.65,-0.02,6
