105/06/01,0,0,--,--,--,--,,0
105/06/02,5000,16550,3.31,3.31,3.31,3.31,X,1
105/06/03,0,0,--,--,--,--,,0
105/06/04,0,0,--,--,--,--,,0
105/06/06,0,0,--,--,--,--,,0
105/06/07,0,0,--,--,--,--,,0
105/06/08,5000,15450,3.09,3.09,3.09,3.09,X,1
105/06/13,0,0,--,--,--,--,,0
105/06/14,35000,118850,3.40,3.40,3.37,3.37,X,2
105/06/15,5000,16350,3.27,3.27,3.27,3.27,-0.10,1
105/06/16,40000,139150,3.34,3.55,3.34,3.55,0.28,3
105/06/17,20000,66000,3.30,3.30,3.30,3.30,-0.25,1
105/06/20,25000,79950,3.22,3.22,3.17,3.19,-0.11,3
105/06/21,5000,15900,3.18,3.18,3.18,3.18,-0.01,1
105/06/22,0,0,--,--,--,--,,0
105/06/23,0,0,--,--,--,--,,0
