105/06/01,7000,162600,23.20,23.30,23.20,23.30,X,3
105/06/02,10000,233000,23.30,23.30,23.30,23.30,,1
105/06/03,10000,232750,23.25,23.30,23.25,23.25,-0.05,5
105/06/04,4000,93000,23.25,23.25,23.25,23.25,,2
105/06/06,0,0,--,--,--,--,,0
105/06/07,0,0,--,--,--,--,,0
105/06/08,10000,232750,23.30,23.30,23.25,23.25,X,4
105/06/13,2000,46350,23.15,23.20,23.15,23.20,-0.05,2
105/06/14,0,0,--,--,--,--,,0
105/06/15,0,0,--,--,--,--,,0
105/06/16,15000,348100,23.35,23.35,23.15,23.30,X,12
105/06/17,12000,278500,23.20,23.30,23.20,23.30,,4
105/06/20,3000,69850,23.25,23.30,23.25,23.30,,3
105/06/21,0,0,--,--,--,--,,0
105/06/22,0,0,--,--,--,--,,0
105/06/23,0,0,--,--,--,--,,0
105/06/24,16000,371200,23.20,23.20,23.20,23.20,X,6
105/06/27,0,0,--,--,--,--,,0
105/06/28,2000,46300,23.15,23.15,23.15,23.15,X,2
105/06/29,22000,510800,23.20,23.40,23.20,23.40,0.25,6
105/06/30,2000,46800,23.40,23.40,23.40,23.40,,2
105/07/01,42000,987050,23.50,23.55,23.50,23.50,0.10,9
105/07/04,0,0,--,--,--,--,,0
105/07/05,2000,46800,23.40,23.40,23.40,23.40,X,2
105/07/06,16000,374400,23.40,23.40,23.40,23.40,,5
105/07/07,0,0,--,--,--,--,,0
105/07/11,3000,70900,23.75,23.75,23.50,23.50,X,3
105/07/12,13000,305000,23.60,23.60,23.45,23.45,-0.05,11
105/07/13,6000,140950,23.50,23.50,23.45,23.45,,6
105/07/14,2000,44700,22.35,22.35,22.35,22.35,X,2
105/07/15,10000,223500,22.35,22.35,22.35,22.35,,4
105/07/18,1000,22350,22.35,22.35,22.35,22.35,,1
105/07/19,5000,111650,22.25,22.35,22.25,22.35,,3
105/07/20,4000,89350,22.30,22.35,22.30,22.35,,3
105/07/21,1000,22350,22.35,22.35,22.35,22.35,,1
105/07/22,2000,45400,22.70,22.70,22.70,22.70,0.35,2
105/07/25,5000,113800,22.70,23.00,22.70,23.00,0.30,5
105/07/26,0,0,--,--,--,--,,0
105/07/27,2000,45550,22.80,22.80,22.75,22.75,X,2
105/07/28,6000,135350,22.65,22.65,22.35,22.60,-0.15,6
105/07/29,0,0,--,--,--,--,,0
105/08/01,3000,68700,23.30,23.30,22.70,22.70,X,3
105/08/02,11000,252300,22.80,23.15,22.80,22.80,0.10,8
105/08/03,0,0,--,--,--,--,,0
105/08/04,3000,70050,23.35,23.35,23.35,23.35,X,2
105/08/05,3000,68750,22.85,22.95,22.85,22.95,-0.40,3
105/08/08,1000,22800,22.80,22.80,22.80,22.80,-0.15,1
105/08/09,0,0,--,--,--,--,,0
