105/06/01,827000,758720,0.86,0.98,0.86,0.97,+0.15,25
105/06/02,623000,593270,0.98,0.99,0.90,0.98,+0.01,27
105/06/03,5000,4650,0.93,0.93,0.93,0.93,-0.05,1
105/06/04,0,0,---,---,---,---,---,0
105/06/06,15000,12450,0.83,0.83,0.83,0.83,-0.07,1
105/06/07,46000,42570,0.89,0.94,0.89,0.91,+0.08,5
105/06/08,32000,27380,0.87,0.87,0.85,0.85,-0.06,3
105/06/13,0,0,---,---,---,---,---,0
105/06/14,58000,49520,0.85,0.88,0.85,0.87,+0.02,4
105/06/15,195000,168190,0.86,0.88,0.84,0.88,+0.01,5
105/06/16,260000,231950,0.88,0.95,0.87,0.95,+0.07,11
105/06/17,71000,62800,0.95,0.95,0.87,0.87,-0.08,7
105/06/20,29000,24000,0.84,0.84,0.81,0.82,-0.05,8
105/06/21,20000,15770,0.81,0.81,0.76,0.76,-0.06,7
105/06/22,2000,1510,0.76,0.76,0.75,0.75,-0.01,2
105/06/23,4000,3000,0.75,0.75,0.75,0.75,0.00,2
105/06/24,62000,42730,0.72,0.72,0.61,0.62,-0.13,7
105/06/27,65000,38670,0.64,0.64,0.56,0.57,-0.05,10
105/06/28,126000,79030,0.62,0.66,0.62,0.66,+0.09,4
105/06/29,89000,60590,0.68,0.69,0.68,0.69,+0.03,3
105/06/30,77000,57670,0.72,0.80,0.72,0.80,+0.11,8
105/07/01,107000,91370,0.85,0.89,0.83,0.89,+0.09,10
105/07/04,22000,19880,0.90,0.94,0.90,0.94,+0.05,4
105/07/05,0,0,---,---,---,---,---,0
105/07/06,30000,24900,0.83,0.83,0.83,0.83,-0.09,1
105/07/07,6000,4980,0.83,0.83,0.83,0.83,0.00,1
105/07/11,10000,8400,0.84,0.84,0.84,0.84,+0.01,1
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,25000,22700,0.91,0.91,0.90,0.90,+0.03,3
105/07/19,0,0,---,---,---,---,---,0
105/07/20,5000,4050,0.81,0.81,0.81,0.81,-0.04,1
105/07/21,10000,8200,0.82,0.82,0.82,0.82,+0.01,1
105/07/22,1000,790,0.79,0.79,0.79,0.79,-0.03,1
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
105/08/03,0,0,---,---,---,---,---,0
105/08/04,0,0,---,---,---,---,---,0
105/08/05,0,0,---,---,---,---,---,0
