105/06/01,160000,34740,0.22,0.22,0.21,0.22,+0.02,3
105/06/02,14000,2800,0.20,0.20,0.20,0.20,-0.02,1
105/06/03,60000,10800,0.18,0.18,0.18,0.18,-0.02,2
105/06/04,80000,16000,0.20,0.20,0.20,0.20,+0.02,2
105/06/06,28000,5320,0.19,0.19,0.19,0.19,-0.01,1
105/06/07,76000,14440,0.19,0.19,0.19,0.19,0.00,2
105/06/08,200000,34000,0.17,0.17,0.17,0.17,-0.02,1
105/06/13,55000,8080,0.13,0.16,0.13,0.16,-0.01,2
105/06/14,181000,32760,0.17,0.19,0.17,0.19,+0.03,5
105/06/15,175000,35250,0.20,0.21,0.20,0.20,+0.01,4
105/06/16,25000,4500,0.18,0.18,0.18,0.18,-0.02,1
105/06/17,80000,13100,0.17,0.17,0.16,0.16,-0.02,2
105/06/20,275000,52220,0.18,0.20,0.18,0.20,+0.04,7
105/06/21,625000,116190,0.18,0.19,0.18,0.19,-0.01,15
105/06/22,629000,112220,0.18,0.18,0.17,0.18,-0.01,5
105/06/23,29000,4350,0.15,0.15,0.15,0.15,-0.03,1
105/06/24,252000,32130,0.15,0.15,0.12,0.12,-0.03,4
105/06/27,129000,16770,0.13,0.13,0.13,0.13,+0.01,3
105/06/28,63000,8190,0.13,0.13,0.13,0.13,0.00,1
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,100000,12000,0.12,0.12,0.12,0.12,-0.01,1
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,10000,1100,0.11,0.11,0.11,0.11,-0.01,1
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
