105/06/01,53000,89400,1.63,1.73,1.63,1.71,+0.11,7
105/06/02,18000,28520,1.59,1.59,1.54,1.54,-0.17,2
105/06/03,2000,3140,1.57,1.57,1.57,1.57,+0.03,1
105/06/04,51000,79030,1.53,1.55,1.53,1.55,-0.02,2
105/06/06,138000,224120,1.64,1.64,1.58,1.58,+0.03,6
105/06/07,346000,590500,1.65,1.77,1.62,1.68,+0.10,22
105/06/08,277000,466910,1.69,1.72,1.61,1.61,-0.07,16
105/06/13,10000,13900,1.39,1.39,1.39,1.39,-0.22,1
105/06/14,1000,1540,1.54,1.54,1.54,1.54,+0.15,1
105/06/15,7000,12320,1.76,1.76,1.76,1.76,+0.22,1
105/06/16,20000,47000,2.35,2.35,2.35,2.35,+0.59,2
105/06/17,7000,15470,2.21,2.21,2.21,2.21,-0.14,1
105/06/20,3000,6600,2.20,2.20,2.20,2.20,-0.01,1
105/06/21,0,0,---,---,---,---,---,0
105/06/22,27000,58590,2.17,2.17,2.17,2.17,-0.03,2
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
105/08/03,0,0,---,---,---,---,---,0
105/08/04,0,0,---,---,---,---,---,0
105/08/05,0,0,---,---,---,---,---,0
105/08/09,0,0,---,---,---,---,---,0
105/08/10,0,0,---,---,---,---,---,0
105/08/11,0,0,---,---,---,---,---,0
105/08/12,0,0,---,---,---,---,---,0
