105/06/01,202000,85680,0.40,0.44,0.40,0.44,+0.06,5
105/06/02,162000,74120,0.46,0.46,0.44,0.44,0.00,3
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,145000,58000,0.40,0.40,0.40,0.40,+0.04,1
105/06/08,145000,56550,0.39,0.39,0.39,0.39,-0.01,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,104000,34470,0.33,0.36,0.33,0.36,+0.02,2
105/06/16,491000,189990,0.36,0.41,0.36,0.41,+0.05,5
105/06/17,212000,80850,0.39,0.39,0.33,0.33,-0.08,5
105/06/20,0,0,---,---,---,---,---,0
105/06/21,225000,63000,0.28,0.28,0.28,0.28,-0.02,1
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,1550000,358500,0.23,0.27,0.23,0.27,+0.07,6
105/07/01,550000,163000,0.26,0.30,0.26,0.30,+0.03,5
105/07/04,1000000,340000,0.34,0.34,0.34,0.34,+0.04,5
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,20000,4200,0.21,0.21,0.21,0.21,-0.02,1
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
