105/06/01,59000,140040,2.28,2.45,2.28,2.41,+0.19,8
105/06/02,38000,86080,2.28,2.28,2.26,2.26,-0.15,3
105/06/03,0,0,---,---,---,---,---,0
105/06/04,20000,43000,2.15,2.15,2.15,2.15,-0.09,2
105/06/06,60000,135500,2.27,2.29,2.24,2.27,+0.12,6
105/06/07,133000,323310,2.43,2.45,2.37,2.37,+0.10,11
105/06/08,90000,215590,2.42,2.42,2.28,2.28,-0.09,6
105/06/13,10000,20300,2.03,2.03,2.03,2.03,-0.25,1
105/06/14,34000,75540,2.09,2.30,2.09,2.28,+0.25,6
105/06/15,38000,90880,2.37,2.42,2.37,2.42,+0.14,3
105/06/16,0,0,---,---,---,---,---,0
105/06/17,21000,63570,3.00,3.03,3.00,3.03,+0.05,4
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,1000,2770,2.77,2.77,2.77,2.77,-0.23,1
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
