105/06/01,262000,361560,1.38,1.38,1.38,1.38,-0.03,5
105/06/02,5000,7650,1.53,1.53,1.53,1.53,+0.15,1
105/06/03,20000,27600,1.42,1.42,1.34,1.34,-0.19,3
105/06/04,0,0,---,---,---,---,---,0
105/06/06,10000,10800,1.05,1.11,1.05,1.11,-0.11,2
105/06/07,71000,92390,1.30,1.33,1.30,1.33,+0.22,2
105/06/08,96000,125660,1.33,1.33,1.20,1.20,-0.13,5
105/06/13,5000,5950,1.19,1.19,1.19,1.19,-0.01,1
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
